"51","43","0","2","4","3","H1.00.01.0.00043 cellula prismatica -- Prismatic cell",NULL,"H1.00.01.0.00043","Prismatic cell","cellula prismatica"," celulă prismatică "
"52","43","0","2","4","3","H1.00.01.0.00044 cellula pyramidalis -- Pyramidal cell",NULL,"H1.00.01.0.00044","Pyramidal cell","cellula pyramidalis"," celulă piramidală"
"53","43","0","2","4","3","H1.00.01.0.00045 cellula spheroidea -- Spheroidal cell; Spherical cell",NULL,"H1.00.01.0.00045","Spheroidal cell; Spherical cell","cellula spheroidea"," celulă sferică"
"54","43","0","2","4","3","H1.00.01.0.00046 cellula squamosa  ;  cellula plana -- Squamous cell; Pavement cell",NULL,"H1.00.01.0.00046","Squamous cell; Pavement cell","cellula squamosa  ;  cellula plana"," celulă scuamoasă  ;  celulă pavimentoasă "
"55","43","0","2","4","3","H1.00.01.0.00047 cellula stellata -- Stellate cell",NULL,"H1.00.01.0.00047","Stellate cell","cellula stellata"," celulă stelată "
"56","3","0","2","4","3","H1.00.01.1.00001 plasmalemma  ;  membrana cellularis -- PLASMALEMMA; CELL MEMBRANE",NULL,"H1.00.01.1.00001","PLASMALEMMA; CELL MEMBRANE","plasmalemma  ;  membrana cellularis"," plasmalemă  ;  membrană celulară"
"57","56","0","2","4","3","H1.00.01.1.00002 glycocalyx -- Glycocalyx",NULL,"H1.00.01.1.00002","Glycocalyx","glycocalyx"," glicocalix "
"58","56","0","2","4","3","H1.00.01.1.00003 facies externa -- Outer surface; Superficial surface",NULL,"H1.00.01.1.00003","Outer surface; Superficial surface","facies externa"," față externă "
"59","56","0","2","4","3","H1.00.01.1.00004 lamina densa externa -- External dense lamina",NULL,"H1.00.01.1.00004","External dense lamina","lamina densa externa"," lamină densă externă "
"60","56","0","2","4","3","H1.00.01.1.00005 facies e  ;  facies fracta externa -- E face; External fractured face; Exoplasmic face",NULL,"H1.00.01.1.00005","E face; External fractured face; Exoplasmic face","facies e  ;  facies fracta externa"," față E  ;  față fracturată externă "
"61","60","0","2","4","3","H1.00.01.1.00006 impressio granuli intramembranacei -- Impression of intramembrane particle",NULL,"H1.00.01.1.00006","Impression of intramembrane particle","impressio granuli intramembranacei"," impresiune granulară intramembranară "
"62","56","0","2","4","3","H1.00.01.1.00007 lamina intermedia lucida -- Middle lucent lamina",NULL,"H1.00.01.1.00007","Middle lucent lamina","lamina intermedia lucida"," lamină intermediară translucidă "
"63","56","0","2","4","3","H1.00.01.1.00008 granulum intramembranaceum -- Intramembrane particle",NULL,"H1.00.01.1.00008","Intramembrane particle","granulum intramembranaceum"," granulă intramembranară "
"64","56","0","2","4","3","H1.00.01.1.00009 lamina densa interna -- Internal dense lamina",NULL,"H1.00.01.1.00009","Internal dense lamina","lamina densa interna"," lamină densă internă "
"65","56","0","2","4","3","H1.00.01.1.00010 facies p  ;  facies fracta cytoplasmica  ;  facies fracta protoplasmica -- Protoplasmic fractured face; P face",NULL,"H1.00.01.1.00010","Protoplasmic fractured face; P face","facies p  ;  facies fracta cytoplasmica  ;  facies fracta protoplasmica"," față P  ;  față fracturată citoplasmatică  ;  față fracturată protoplasmică "
